Company Name,Url,Twitter Handle,Date added,Country 1,City 1,Country 2,City 2,Country 3,City 3,Country 4,City 4,Country 5,City 5,Country 6,City 6,Country 7,City 7,Country 8,City 8,Country 9,City 9,Country 10,City 10,Country 11,City 11,Country 12,City 12,Country 13,City 13,Country 14,City 14,Country 15,City 15,Country 16,City 16,Country 17,City 17,Country 18,City 18,Country 19,City 19,Country 20,City 20,Country 21,City 21,Country 22,City 22,Country 23,City 23,Country 24,City 24,Country 25,City 25
Kid.,http://kidstudio.co/,kidstudio_,,Canada,Toronto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blok,http://www.blokdesign.com/,blokstudio,,Canada,Toronto,Mexico,Mexico City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Mau Design,http://www.brucemaudesign.com/,brucemaudesign,,Canada,Toronto,United States,Santa Monica,United States,"Los Angeles, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jam3,http://www.jam3.com/,jam3,,Canada,Toronto,Uruguay,Montevideo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tung,http://madebytung.com/,madebytung,,Canada,Toronto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karacters design group,http://www.karacters.com/,,,Canada,Vancouver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glasfurd & Walker,http://www.glasfurdandwalker.com/,glasfurdwalker,,Canada,Vancouver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brief,http://www.brief-studio.com/,Briefstudio,,Canada,Vancouver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studio Faculty,http://studiofaculty.com/,studiofaculty/,,Canada,Vancouver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hulse & Durrell,http://hulsedurrell.com/,hulsedurrell,,Canada,Vancouver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
